id,question,answer
1,醫美跟一般美容有什麼差別？,醫美必須由持證醫師操作，涉及藥品、雷射、注射等醫療行為；一般美容則是保養品、按摩，無侵入性。
2,第一次做醫美，該怎麼挑診所？,1. 查「衛福部醫事查詢」確認醫師證照 2. 看診所是否標示「醫療機構登記證」 3. 閱讀 Google 評價 + 衛生局懲處紀錄
3,皮秒雷射真的「零恢期」？,皮秒屬高能量飛秒雷射，術後 3–7 天會有紅腫、結痂，需嚴格防曬；「零恢期」是行銷用語。
4,音波拉提（Ulthera / 海芙）多久做一次？,原廠建議 1 次/年，效果約維持 12–18 個月；第 2 次通常在 9–12 個月後補強。
5,肉毒桿菌可以消除動態紋多久？,注射後 3–5 天顯效，維持 4–6 個月；劑量、品牌（保妥適 vs. 迪斯波特）與個人代謝有關。
6,玻尿酸填淚溝會不會變「香腸臉」？,選用低分子、軟 Q 型玻尿酸 + 醫師分層注射，可自然；過量或硬質玻尿酸才易腫脹。
7,微整後多久可以運動？,注射類（肉毒、玻尿酸）24 小時避免劇烈運動；雷射類 72 小時內避免三溫暖、熱瑜伽。
8,孕婦可以做醫美嗎？,絕對禁止任何注射、雷射、口服 A 酸；僅允許醫師開立孕婦可用的保養品。
9,醫美保險會理賠嗎？,多數產險不理賠「美容目的」手術；若因醫療必要（如燒燙傷重建）才可能理賠。
10,怎麼分辨「水貨」肉毒？,正品保妥適有雷射防偽標籤 + 序號可上網查；迪斯波特有 QR code；診所應主動提供。
11,雙眼皮手術有哪幾種？,1. 縫合式（6–12 個月可能鬆脫） 2. 割雙眼皮（永久） 3. 微創釘書針式（恢復快）
12,隆鼻用「自體肋軟骨」好嗎？,優點：永久、不位移；缺點：需開胸取材，恢復期 2–4 週，適合二次修復者。
13,抽脂後會反彈嗎？,脂肪細胞數量減少，但剩餘細胞仍會肥大；需維持體重 ±3 kg 內。
14,醫美可以分期付款嗎？,多數診所有 0 利率 6–12 期（與銀行或診所合作）；需注意手續費。
15,術後照護冰敷多久？,雷射後 前 3 天每次 10–15 分鐘，每 2 小時一次；注射類僅當天冰敷。
16,醫美失敗怎麼求償？,1. 保存發票、合約、術前術後照 2. 向衛生局檢舉 3. 提消保法或醫療糾紛調解
17,醫美可以報稅嗎？,純美容目的不可列舉扣除；若屬醫療重建（燒傷、車禍）可憑診斷證明。
18,鳳凰電波、熱瑪吉哪個痛？,熱瑪吉（Thermage FLX）痛感較強，需表面麻醉；鳳凰電波可調能量，較溫和。
19,醫美前 1 週要停什麼藥？,停 阿斯匹靈、維他命 E、魚油、銀杏（易瘀青）；A 酸類停 1 個月。
20,怎麼知道自己適合「全臉拉皮」？,年齡 >45 歲、中重度鬆弛、皮膚彈性差；醫師會用 Snapper 拉皮測試 評估。
21,醫美後可以用「精華液」嗎？,可！術後 48 小時後，從單方玻尿酸或神經醯胺開始；雷射後 7 天內避免 A 醇、酸類。
22,什麼是「醫美術後修復霜」？,含泛醇、神經醯胺、積雪草的高保濕霜，加速表皮再生；常見品牌：Cicaplast B5、Avene Cicalfate。
23,每天按摩臉部會讓皮膚鬆弛嗎？,錯誤！ 正確淋巴按摩可促進循環；但用力拉扯或每天 >15 分鐘易傷彈力纖維。
24,穴道按摩能取代音波拉提嗎？,無法取代。穴道按摩改善水腫（如迎香穴），音波拉提才刺激 SMAS 筋膜層。
25,醫美前 3 天可以去角質嗎？,絕對禁止。去角質破壞皮膚屏障，雷射易過敏或色沉。
26,什麼是「韓系水光肌」保養法？,早：化妝水 7 層拍 + 精華 晚：雙潔 + 酸類 + 封閉霜；每周 1 次水光槍輔助。
27,維他命 C 精華會跟雷射衝突嗎？,術前 1 週停高濃度 (>15%)；術後 7 天可用低濃度 (5–10%) 抗氧化。
28,穴道「四白穴」按摩有什麼效果？,位於眼下 1 公分，按壓 10 秒 × 10 次，改善黑眼圈血循；搭配冷敷更佳。
29,醫美後可以用「LED 光療面罩」嗎？,可！紅光 (630nm) 促進膠原蛋白；藍光 術後 72 小時後用，抗痘消炎。
30,什麼是「微電流儀」？適合誰？,居家版音波，刺激肌肉收縮；適合 30 歲以上輕度鬆弛，每週 3 次 × 10 分鐘。
31,吃膠原蛋白粉對醫美有幫助嗎？,輔助作用。每日 5–10g 小分子胜肽，搭配維 C 吸收；無法取代注射。
32,醫美後可以敷「片狀面膜」嗎？,術後 3 天後可敷無香精、醫美專用款（如 Dr.Wu 術後面膜）；避免含酒精。
33,穴道「頰車穴」按摩能瘦臉？,按壓 順時針 30 圈，放鬆咬肌；需持續 30 天，搭配低鈉飲食。
34,A 醇（Retinol）什麼時候開始用？,25 歲後，從 0.3% 濃度，每週 2 次建立耐受；孕婦禁用。
35,醫美保養品可以混搭品牌嗎？,可以，但同功能勿重複（如兩款酸類易刺激）；建議早晚分品牌。
36,什麼是「雙胜肽」？哪裡可以打？,Argireline + Matrixyl，抑制神經傳導；常打法令紋、抬頭紋，效果如輕量肉毒。
37,穴道「太陽穴」按摩能改善偏頭痛？,按壓 畫圈 20 次，放鬆顳肌；醫美族常因注射緊張，按此穴緩解。
38,醫美後防曬係數要多少？,SPF50+ / PA++++，每 2 小時補擦；物理性（含鋅）比化學性溫和。
39,什麼是「肌底液」？一定要用嗎？,高濃度玻尿酸前導精華，幫助後續吸收；乾肌必備，油肌可省。
40,穴道「承泣穴」按摩注意什麼？,位眼球正下方，輕點勿壓；改善眼袋水腫，孕婦避免。
41,醫美前可以喝膠原蛋白飲嗎？,可以，術前 1 週開始補充，提升皮膚含水度，雷射恢復更快。
42,什麼是「果酸換膚」？居家能做嗎？,5–10% 果酸去角質，居家每周 1 次；>20% 須醫師操作。
43,穴道「地倉穴」按摩能改善嘴歪？,位嘴角外 0.5 公分，按壓 10 秒 × 5 次；肉毒後不平衡時輔助。
44,醫美後可以用「蒸氣面膜」嗎？,禁止！高溫破壞修復中的皮膚屏障，易泛紅。
45,什麼是「胜肽線雕」？維持多久？,埋可吸收 PDO 線，刺激膠原；效果 12–18 個月，比傳統線雕微創。
46,穴道「攢竹穴」按摩能除皺？,位眉頭凹陷，按壓 上下推 20 次；改善川字紋，搭配肉毒更持久。
47,醫美保養順序是？,卸妝 → 潔顏 → 化妝水 → 精華 → 乳液 → 面霜 → 防曬（早）
48,什麼是「皮秒蜂巢探頭」？,聚焦能量產生 LIOB 空泡，刺激膠原；適合痘疤、毛孔，恢復期 3–5 天。
49,穴道「迎香穴」按摩能縮毛孔？,位鼻翼兩側，按壓 畫圈 30 次；改善油脂分泌，搭配皮秒更佳。
50,醫美族必備「急救包」有哪些？,1. 醫美修復霜 2. 生理食鹽水 3. 無菌紗布 4. SPF50 防曬 5. 口服維生素 C